degree|alpha|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
3|19.5|146.54234289238823|201.91626807094272|0.8037069904276389|0.7615446790011184|0.8709803921568627|0.8824451410658307|0.8621700879765397|0.882260596546311
3|20.0|146.5540667945054|201.8722273539571|0.8036912862974532|0.7615966893884247|0.8713725490196078|0.8824451410658307|0.8625314333612741|0.882260596546311
3|20.5|146.56581056076107|201.82887668059234|0.803675555559316|0.7616478848608425|0.8713725490196078|0.8824451410658307|0.8625314333612741|0.882260596546311
3|26.0|146.6959712038323|201.39234208276946|0.8035012057853733|0.7621634153757706|0.8705882352941177|0.8824451410658307|0.8615771812080537|0.8818897637795275
3|26.5|146.70786922493102|201.35592169602018|0.8034852684233569|0.7622064264471229|0.8705882352941177|0.8824451410658307|0.8615771812080537|0.8818897637795275
3|27.0|146.71977495730593|201.31998857683132|0.80346932073211|0.7622488620742892|0.8705882352941177|0.8824451410658307|0.8615771812080537|0.8818897637795275
3|27.5|146.73168781235182|201.2845315170767|0.8034533635000677|0.762290735493634|0.8705882352941177|0.8824451410658307|0.8615771812080537|0.8818897637795275
3|28.0|146.74360723237032|201.24953975961657|0.8034373974742651|0.7623320594089242|0.8701960784313726|0.8824451410658307|0.8610994544691565|0.8818897637795275
3|28.5|146.7555326882578|201.21500297305556|0.8034214233634349|0.762372846021139|0.8701960784313726|0.8824451410658307|0.8610994544691565|0.8818897637795275
3|29.0|146.7674636774139|201.18091122833354|0.8034054418408088|0.7624131070561154|0.8701960784313726|0.8824451410658307|0.8610994544691565|0.8818897637795275
3|29.5|146.77939972184726|201.14725497689443|0.8033894535466546|0.7624528537903296|0.8701960784313726|0.8824451410658307|0.8610994544691565|0.8818897637795275
3|15.5|146.44947579031606|202.29632480926742|0.8038313856201561|0.7610958466588766|0.8709803921568627|0.8808777429467085|0.8622854750941817|0.8808777429467085
3|16.0|146.4609745629056|202.24586562498618|0.8038159830502678|0.7611554370083817|0.8709803921568627|0.8808777429467085|0.8622854750941817|0.8808777429467085
3|16.5|146.47250959221162|202.196310685729|0.8038005319146213|0.7612139594794067|0.8709803921568627|0.8808777429467085|0.8622854750941817|0.8808777429467085
3|17.0|146.48407812257938|202.14762726433858|0.8037850359044075|0.7612714527214615|0.8709803921568627|0.8808777429467085|0.8622854750941817|0.8808777429467085
3|17.5|146.49567764904947|202.0997846239107|0.8037694983750117|0.7613279530336435|0.8709803921568627|0.8808777429467085|0.8622854750941817|0.8808777429467085
3|18.0|146.50730588882436|202.05275385401188|0.8037539223842339|0.7613834945580595|0.8709803921568627|0.8808777429467085|0.8622854750941817|0.8808777429467085
3|18.5|146.5189607564222|202.00650772352904|0.8037383107255707|0.7614381094536031|0.8717647058823529|0.8808777429467085|0.8630079597821535|0.8808777429467085
3|19.0|146.53064034199792|201.96102054817575|0.8037226659572534|0.7614918280524254|0.8713725490196078|0.8808777429467085|0.8625314333612741|0.8808777429467085
3|21.0|146.5775728162462|201.7861954665528|0.803659800054914|0.7616982897276303|0.8713725490196078|0.8808777429467085|0.8625314333612741|0.8805031446540881
3|21.5|146.58935228743528|201.74416417903345|0.8036440214901304|0.7617479270562774|0.8709803921568627|0.8808777429467085|0.8621700879765397|0.8805031446540881
3|22.0|146.60114779221433|201.70276426309138|0.8036282214484031|0.7617968187594552|0.8709803921568627|0.8808777429467085|0.8621700879765397|0.8805031446540881
3|22.5|146.6129582310623|201.66197807440764|0.8036124014025373|0.7618449856744236|0.8709803921568627|0.8808777429467085|0.8621700879765397|0.8801261829652997
3|23.0|146.62478257923726|201.62178881790354|0.8035965627251715|0.7618924476355223|0.8709803921568627|0.8808777429467085|0.8621700879765397|0.8801261829652997
3|23.5|146.6366198798418|201.58218049144452|0.8035807066980669|0.7619392235406549|0.8709803921568627|0.8808777429467085|0.8621700879765397|0.8801261829652997
3|24.0|146.64846923765663|201.5431378342921|0.8035648345203669|0.7619853314121646|0.8709803921568627|0.8808777429467085|0.8621700879765397|0.8801261829652997
3|24.5|146.6603298136488|201.50464627971036|0.8035489473159534|0.7620307884528044|0.8701960784313726|0.8808777429467085|0.8612159329140461|0.8801261829652997
3|25.0|146.67220082007137|201.46669191139162|0.803533046140011|0.7620756110971967|0.8705882352941177|0.8808777429467085|0.8615771812080537|0.8801261829652997
3|25.5|146.68408151608404|201.42926142332882|0.803517131984893|0.7621198150592222|0.8705882352941177|0.8808777429467085|0.8615771812080537|0.8801261829652997
3|14.5|146.4265994934614|202.40009789056845|0.8038620283481817|0.7609732946542804|0.8713725490196078|0.8793103448275862|0.8626465661641541|0.8794992175273866
3|15.0|146.43801631363345|202.34772313868731|0.8038467355533|0.7610351472152026|0.8713725490196078|0.8793103448275862|0.8626465661641541|0.8794992175273866
3|14.0|146.415229055604|202.45348894841976|0.8038772590140979|0.7609102418752248|0.8713725490196078|0.877742946708464|0.8626465661641541|0.878125
3|13.0|146.3926443686534|202.56349412293287|0.8039075111315697|0.7607803300090307|0.8709803921568627|0.8761755485893417|0.8622854750941817|0.8767550702028081
3|13.5|146.4039091418009|202.50793905915882|0.8038924220032015|0.7608459383955758|0.8709803921568627|0.8761755485893417|0.8622854750941817|0.8767550702028081
3|1.5|146.17926554074134|204.34962382465395|0.8041933314036029|0.7586709797548952|0.8686274509803922|0.8746081504702194|0.8600083577099874|0.8753894080996886
3|2.0|146.18398938524783|204.23768861955145|0.8041870038286738|0.758803170912739|0.8682352941176471|0.8746081504702194|0.8595317725752508|0.8753894080996886
