WaveTrajectory,PtIndex,Lat,Lon,Time
42,14,7.21751117706299,-33.3140869140625,2000041821
42,15,6.54782485961914,-34.2611694335938,2000041900
42,16,6.24622917175293,-35.2914123535156,2000041903
42,17,5.43136882781982,-36.36328125,2000041906
45,2,6.89550304412842,-20.0038146972656,2000042503
45,3,7.10657119750977,-20.4002990722656,2000042506
45,4,7.39441204071045,-20.6035461425781,2000042509
45,5,7.58336591720581,-21.0000305175781,2000042512
45,6,7.49629211425781,-21.51953125,2000042515
45,7,7.27988910675049,-22.0585021972656,2000042518
45,8,7.1737117767334,-22.5321960449219,2000042521
45,9,7.41845893859863,-23.0000915527344,2000042600
45,10,7.18298816680908,-23.6846313476563,2000042603
45,11,6.71128988265991,-24.3312377929688,2000042606
45,12,6.60776901245117,-24.7737121582031,2000042609
45,13,6.5802698135376,-25.30810546875,2000042612
45,14,6.47016716003418,-25.6199340820313,2000042615
45,15,6.33574485778809,-26.2303466796875,2000042618
45,16,5.94298982620239,-26.3743896484375,2000042621
45,19,4.89667892456055,-27.9699401855469,2000042706
45,20,5.1414589881897,-28.17431640625,2000042709
45,21,5.21015501022339,-28.4780883789063,2000042712
45,22,5.37321615219116,-28.8228149414063,2000042715
45,23,5.44917583465576,-29.4185485839844,2000042718
45,24,5.35582113265991,-29.9190063476563,2000042721
45,25,5.52793502807617,-30.3007202148438,2000042800
45,26,5.76480388641357,-30.8313903808594,2000042803
45,27,5.77802705764771,-31.5581359863281,2000042806
45,28,5.71087694168091,-32.2278137207031,2000042809
45,29,5.64310216903687,-32.98876953125,2000042812
45,30,5.35081481933594,-33.6173095703125,2000042815
45,32,5.4591588973999,-34.4912719726563,2000042821
45,33,5.30776119232178,-35.14697265625,2000042900
45,34,5.05192089080811,-35.7692565917969,2000042903
45,35,4.75647401809692,-36.1466064453125,2000042906
45,39,4.98927211761475,-37.3487854003906,2000042918
45,40,4.84861087799072,-37.7222290039063,2000042921
45,42,4.82805681228638,-38.7113037109375,2000043003
53,15,12.1879625320435,-19.7462158203125,2000052600
53,16,12.1487865447998,-20.6184692382813,2000052603
53,17,11.8831157684326,-21.4106750488281,2000052606
53,18,11.4248390197754,-22.0726928710938,2000052609
53,19,10.8576812744141,-22.7418518066406,2000052612
53,20,10.4750299453735,-23.6418151855469,2000052615
53,21,10.207989692688,-24.5679016113281,2000052618
53,22,9.99942779541016,-25.722900390625,2000052621
53,23,9.17931270599365,-27.3184204101563,2000052700
53,24,9.07138824462891,-28.6036682128906,2000052703
53,25,8.89750385284424,-30.0865173339844,2000052706
53,26,9.17943954467773,-31.1192626953125,2000052709
53,27,9.75063610076904,-31.5073852539063,2000052712
53,28,10.0648488998413,-31.2719421386719,2000052715
53,29,10.207103729248,-31.4688415527344,2000052718
58,1,5.23707914352417,-41.30224609375,2000053109
58,2,5.61746978759766,-42.8984069824219,2000053112
58,3,5.77315902709961,-43.8485107421875,2000053115
58,4,5.9221978187561,-44.7994689941406,2000053118
58,5,6.33472299575806,-45.8315734863281,2000053121
58,6,6.41981077194214,-46.6259155273438,2000060100
58,7,6.37963008880615,-47.3715209960938,2000060103
58,8,6.59830713272095,-48.408935546875,2000060106
58,9,6.58966398239136,-49.5375366210938,2000060109
58,10,6.30795192718506,-49.958984375,2000060112
