AirTemp,QV,Omega,SeaLevPress,UWinds,VWinds,LH,Lat,Lon,PtIndex,WaveTrajectory,Time
7.06084594726565,7.26700061932206,0.000641723051667213,1021.565625,-11.8944311141968,-5.27616405487061,12.8880801144987,25.0644588470459,-35.368896484375,0,1,2000010100
10.8655334472656,9.46915149688721,-0.000444002151489258,1015.694375,-12.9869070053101,-2.19931364059448,16.0069288685918,20.4546127319336,-54.79052734375,18,1,2000010306
7.10018310546877,7.47489929199219,-0.000295708477497101,1021.084140625,-11.230260848999,-3.17279815673828,-10.2171204518527,24.4805755615234,-36.7716369628906,1,1,2000010103
11.1548095703125,9.29426588118076,0.000125699937343597,1015.156875,-11.6986722946167,-2.08820796012878,1.02017777971923,19.468900680542,-55.6907348632812,19,1,2000010309
7.0682312011719,7.33582675457001,0.000323232524096966,1020.30296875,-10.2465257644653,-1.99366354942322,0.511767994612455,24.6490421295166,-37.8828735351562,2,1,2000010106
11.5711303710938,8.47230385988951,0.0012121844291687,1016.715859375,-13.1428842544556,-1.51096570491791,3.08800125494599,19.6444053649902,-57.60595703125,20,1,2000010312
7.32863769531252,7.06482212990522,0.000828443616628647,1020.58515625,-9.88946151733398,-1.9430673122406,-16.4200867060572,24.1221942901611,-38.7530212402344,3,1,2000010109
8.9412780761719,4.90199727937579,0.000374418273568153,1016.9421875,-4.63111209869385,-5.66759777069092,0.500026205554605,25.1442794799805,-33.3982849121094,53,5,2000012415
7.59816894531252,7.33382813632488,0.000373299866914749,1022.44828125,-10.4611377716064,-1.20494782924652,-6.64261509664357,24.3689155578613,-40.0229187011719,4,1,2000010112
9.37319335937502,4.94022481143475,5.46501949429512e-05,1016.32640625,-4.1798243522644,-6.08367013931274,0.733167165890336,24.3827037811279,-33.2510681152344,54,5,2000012418
8.02395019531252,7.62942293658853,0.000185621082782745,1020.875625,-10.6755456924438,-1.0585560798645,-0.92175118625164,24.5086231231689,-41.2147521972656,5,1,2000010115
9.51680908203127,4.64446470141411,0.00011114090681076,1018.014609375,-4.42894172668457,-6.7608757019043,0.983856059610844,23.8339920043945,-33.281982421875,55,5,2000012421
8.53533325195315,7.63942673802376,0.000973737984895706,1019.0915625,-10.7166147232056,-1.39148139953613,-0.906315492466092,23.8975677490234,-42.6487121582031,6,1,2000010118
9.31166992187502,4.50002402067184,0.000244856178760529,1018.68296875,-4.74124479293823,-7.48637771606445,0.506499968469143,23.5793190002441,-33.481201171875,56,5,2000012500
8.73977050781252,6.93746795877814,0.000801862925291061,1020.23875,-11.2454814910889,-0.957685470581055,0.404726481065154,23.7662982940674,-43.726806640625,7,1,2000010121
9.2187438964844,4.72843367606401,-0.000473212897777557,1017.3815625,-5.51796531677246,-5.40112972259521,3.57297398149967,23.1802463531494,-33.3753662109375,57,5,2000012503
8.40596923828127,6.24287221580744,0.00145116522908211,1021.017578125,-10.6512107849121,-1.94639182090759,1.91790098324418,24.1867332458496,-44.943115234375,8,1,2000010200
8.00423583984377,7.26127903908491,0.000325608849525452,1020.092734375,-9.89137935638428,-1.77933979034424,-5.36951799876988,23.9441719055176,-45.7662048339844,9,1,2000010203
9.0571228027344,8.31605680286884,0.000296071767807007,1017.731875,-10.1092939376831,-2.71242761611938,-0.783975329250097,22.3670063018799,-46.2218322753906,10,1,2000010206
9.24163208007815,8.33893101662397,0.000746136009693146,1017.42234375,-10.9424343109131,-3.11476707458496,-1.11577925272286,21.903564453125,-47.1095886230469,11,1,2000010209
9.38640747070315,8.26290808618069,0.000720500200986862,1018.63765625,-11.755558013916,-2.40885186195374,-2.17226366512477,21.9040794372559,-48.5971069335938,12,1,2000010212
9.9953552246094,8.392333984375,0.000275723487138748,1017.60640625,-11.1531038284302,-2.16763234138489,-6.58820983953774,21.3650074005127,-49.5953979492188,13,1,2000010215
10.2271362304688,8.56783427298069,-0.000126158818602562,1015.6021875,-10.4702939987183,-3.07242465019226,-5.23453960195184,21.0884304046631,-50.4456176757812,14,1,2000010218
10.3874450683594,8.72039794921875,0.000600413978099823,1015.846875,-10.271598815918,-4.10934638977051,-8.95979600027204,20.3901023864746,-51.0549926757812,15,1,2000010221
10.5749755859375,8.87315440922976,0.000963999330997467,1016.98203125,-11.8248271942139,-4.07919788360596,-0.555232353508472,20.2126026153564,-52.4672241210938,16,1,2000010300
10.7411743164063,9.10187885165215,0.00024747721850872,1016.9075,-12.9991207122803,-2.79066443443298,-6.30847890861332,20.6830711364746,-54.0952758789062,17,1,2000010303
10.8655334472656,9.46915149688721,-0.000444002151489258,1015.694375,-12.9869070053101,-2.19931364059448,16.0069288685918,20.4546127319336,-54.79052734375,18,1,2000010306
11.1548095703125,9.29426588118076,0.000125699937343597,1015.156875,-11.6986722946167,-2.08820796012878,1.02017777971923,19.468900680542,-55.6907348632812,19,1,2000010309
11.5711303710938,8.47230385988951,0.0012121844291687,1016.715859375,-13.1428842544556,-1.51096570491791,3.08800125494599,19.6444053649902,-57.60595703125,20,1,2000010312
8.9412780761719,4.90199727937579,0.000374418273568153,1016.9421875,-4.63111209869385,-5.66759777069092,0.500026205554605,25.1442794799805,-33.3982849121094,53,5,2000012415
9.37319335937502,4.94022481143475,5.46501949429512e-05,1016.32640625,-4.1798243522644,-6.08367013931274,0.733167165890336,24.3827037811279,-33.2510681152344,54,5,2000012418
9.51680908203127,4.64446470141411,0.00011114090681076,1018.014609375,-4.42894172668457,-6.7608757019043,0.983856059610844,23.8339920043945,-33.281982421875,55,5,2000012421
