AirTemp,QV,Omega,SeaLevPress,UWinds,VWinds,LH,Time,Lat,Lon
21.70220337,3.847730579,0.001041395,1013.376094,-11.66691303,1.004438281,0.001673447,2000013118,13.79000092,-25.19088745
22.0498291,3.454125253,0.001074628,1014.79125,-12.93245506,1.312021732,-0.001498684,2000013121,13.62342358,-26.45834351
21.93398438,3.608009778,-0.000449777,1015.742656,-13.15193939,1.303806782,0.002080807,2000020100,13.24548817,-27.68569946
21.70266113,3.788061207,-0.000302809,1014.790781,-11.99283504,1.36564517,0.001115212,2000020103,13.42522717,-28.95767212
21.37679443,3.961781505,-0.000443201,1014.664688,-11.26807404,-0.22641921,-0.00216756,2000020106,13.00903988,-30.04086304
20.67574463,4.323959351,-0.001604497,1016.3525,-11.24952698,-1.834239483,0.001638243,2000020109,12.33044815,-30.96078491
19.96947632,4.262926057,-0.000837142,1017.643281,-11.21280003,-1.063587427,-0.000270316,2000020112,11.99467754,-32.00598145
19.61174927,4.31060791,-6.88E-05,1016.19,-11.21437263,-1.690944672,-0.000773859,2000020115,11.89283752,-33.24325562
19.2930542,4.501342773,-0.000990527,1014.505625,-10.08468628,-1.727980614,0.000765687,2000020118,11.5946579,-33.59869385
19.5942627,4.417419434,0.001295534,1015.662813,-11.08795166,-1.663623095,-0.000218768,2000020121,11.4801321,-34.09896851
20.26937256,3.980636597,5.38E-05,1016.802969,-12.59257698,-1.374322414,-0.001072465,2000020200,11.85220242,-34.68978882
20.29927979,3.78704071,-0.000566554,1015.375391,-13.0758419,-1.404450417,0.00222791,2000020203,12.15633583,-35.76229858
19.00411377,4.112250172,-0.000956567,1014.911328,-14.5899334,-2.338243484,0.002117269,2000020206,11.94668961,-37.37680054
18.65181885,3.463745117,-0.000974444,1015.917031,-14.90239429,-2.36604929,0.000702194,2000020209,11.90261745,-37.85253906
18.73250732,2.874375088,0.000173432,1017.668594,-14.95364666,-2.278725624,0.001707394,2000020212,11.77068043,-38.03076172
19.07982788,3.05557251,0.000108964,1016.312188,-14.94575691,-2.088394642,0.001780316,2000020215,11.77143574,-38.17654419
19.34291992,3.322601551,0.000449579,1014.231953,-14.31644154,-1.991348505,-0.002186419,2000020218,12.01636982,-38.43389893
19.01287231,3.069877625,-0.000391452,1015.614063,-14.06864738,-1.878011465,-0.000580866,2000020221,12.59940243,-38.83648682
12.42403564,0.888347626,0.000371367,1023.007969,-7.852015495,-0.387171328,0.001103897,2000020421,22.29923248,-20.74038696
12.43529663,0.763519376,-0.000127255,1023.266406,-8.741896629,-0.815457046,-0.00133398,2000020500,22.07547951,-21.91567993
12.01638184,0.894327124,0.000609022,1022.220938,-9.25365448,-1.555089116,0.000335695,2000020503,21.45819473,-23.10440063
11.56893311,0.811373931,0.000125246,1021.647344,-9.66870594,-1.314013481,-4.81E-05,2000020506,21.48239136,-24.26577759
11.47438965,0.585079193,-0.000231275,1023.822656,-10.37406254,-1.482166052,-0.000257744,2000020509,22.51612854,-25.35650635
11.29677734,0.679731369,-0.000706803,1024.906406,-10.23551464,0.695097983,-0.00061607,2000020512,22.12130356,-26.5602417
11.19622192,0.894069672,0.000877376,1022.878984,-10.37855721,-0.246959612,-0.001719967,2000020515,20.91735649,-27.9118042
11.87572632,0.761271105,0.00080674,1021.586406,-10.40399647,-0.528469682,-0.001913588,2000020518,20.17127419,-29.06811523
12.13894043,0.612258969,0.000903787,1022.986172,-10.98579121,-0.869184017,-0.000456395,2000020521,19.37832832,-30.28842163
12.71621094,0.464256736,0.000390643,1024.074531,-10.88411617,-2.313840628,0.000973139,2000020600,19.49259377,-31.19625854
12.54796753,0.537157059,-0.000274331,1022.946719,-10.62517929,-1.967757702,-0.001638243,2000020603,20.10369873,-31.87313843
13.37450562,0.165436111,-0.000205898,1019.062344,-12.49783611,-3.131794214,-0.001791632,2000020606,17.1192112,-32.77218628
11.34447632,0.716479088,-7.63E-05,1020.538281,-14.75013638,-4.226084709,0.000658818,2000020609,17.17575455,-33.43307495
12.3571106,0.354353426,0.000547952,1022.2075,-15.64908218,-4.064280987,-0.002253056,2000020612,17.16083908,-34.78262329
11.85915527,0.487719051,0.000737069,1020.5775,-16.47523117,-2.861484766,0.000206195,2000020615,17.03824997,-35.82266235
12.68377075,0.33640553,0.000385863,1018.505313,-15.56284904,-2.608680248,0.000540633,2000020618,15.79417419,-36.7840271
12.23269043,1.605033875,0.000208596,1024.746172,-11.31782246,-4.65531683,-0.000456395,2000020521,24.11407852,-19.89663696
12.00527344,1.602228615,-0.000395414,1024.824531,-12.32942867,-3.612668753,0.000973139,2000020600,23.47236633,-21.19088745
11.32140503,1.605987549,-0.000348489,1025.366719,-9.406429291,-2.485335827,-0.001638243,2000020603,24.30692863,-22.22668457
17.00408325,12.64583785,-0.001550783,1011.025313,-4.834332943,0.458702445,6.381194014,2000020618,4.860178947,-23.91775513
16.92757568,11.56997681,-0.00049181,1012.910469,-4.922798634,0.96241498,5.054712575,2000020621,5.565403938,-24.13061523
16.82845459,10.96734591,0.000180753,1013.838594,-5.021513939,1.632211566,2.624549484,2000020700,6.185573101,-24.49655151
17.2546936,11.16180606,0.001232598,1011.883438,-4.52331686,1.099201441,-1.155802421,2000020703,5.878744125,-25.41964722
17.15761719,11.20377425,-0.000749824,1010.933438,-5.448172569,-0.036440372,0.085523073,2000020706,6.216221809,-26.01791382
16.82186279,10.66970825,-0.000790894,1012.572969,-6.132699966,-0.618723154,0.121774385,2000020709,6.01946497,-26.77835083
16.15511475,12.1383667,-0.000120973,1013.783359,-6.451996803,-1.962188482,0.050263759,2000020712,5.744153976,-27.24459839
16.07424316,12.57324591,-0.000324219,1012.454688,-6.61253643,-1.335849762,2.982665249,2000020715,5.332931995,-27.53845215
16.0732666,13.18375301,-0.001402471,1011.731797,-7.241075516,-2.006790638,13.52497945,2000020718,4.934607983,-27.8286438
16.05089722,13.14163208,-0.002677218,1013.47,-7.932403564,-0.412786245,17.10344902,2000020721,5.294610977,-27.60733032
15.45775757,12.37493474,-0.002009332,1015.080938,-9.112035751,-2.493416071,4.845188465,2000020800,5.197713852,-28.21578979
14.80397949,11.97053678,-0.003419358,1015.573516,-6.974433899,1.898471951,5.397492601,2000020812,4.957530975,-30.20199585
15.05410156,11.77980378,-0.001669913,1014.143125,-6.004789352,2.640760422,2.884435421,2000020815,4.89784193,-30.86032104
15.23937378,11.21903397,-0.00198554,1012.360313,-7.581204414,0.801436186,14.1304567,2000020818,4.871510983,-31.66567993
14.7027832,12.08114624,-0.002276305,1014.253281,-9.49516964,0.087767124,12.99922415,2000020821,5.336147785,-32.28207397
14.55474243,10.92918683,-0.001467916,1016.158516,-11.3835659,2.361850977,3.402116429,2000020900,6.050182819,-32.74151611
14.15804443,10.04792191,-0.000584394,1014.828203,-11.78778458,1.093133211,0.25047767,2000020903,6.510626793,-33.38131714
14.37716064,10.2807479,0.000403382,1013.444375,-10.30620193,-0.729450762,-0.506454706,2000020906,6.60395813,-33.82211304
14.83822021,10.41412354,0.000674236,1014.457656,-9.700653076,-2.350801468,0.410606805,2000020909,6.596568108,-34.76303101
14.82088623,10.30731201,9.83E-05,1015.867188,-10.12451649,-3.508645773,0.940218195,2000020912,6.539505005,-35.54992676
14.40154419,10.35690308,-1.84E-05,1013.993438,-10.90089226,-3.620330334,1.596494811,2000020915,6.420878887,-36.07739258
15.04567871,11.58142649,-0.001052024,1012.22375,-11.42049599,-3.224464893,17.15901727,2000020918,7.026339054,-37.03283691
14.3414856,11.61194127,-0.001652312,1013.512344,-12.33250523,-2.489059925,20.64231788,2000020921,7.722270966,-37.79312134
13.83812866,11.3259973,-0.000781277,1015.424375,-12.21524715,-1.952348828,11.71608134,2000021000,8.303606987,-38.54522705
14.65065918,11.79885957,-0.002851914,1013.909375,-12.69839096,-2.698552847,25.79868324,2000021003,7.636435986,-39.30215454
14.95922241,11.84082683,-0.002199933,1012.184063,-10.77699471,-1.850045443,5.154769868,2000021006,6.753635883,-39.63098145
11.23058472,0.194668901,-0.000468967,1025.495,-12.30349731,-0.409719229,0.002113497,2000020721,22.66916275,-20.81375122
9.465570068,0.444707373,6.54E-05,1026.720938,-14.66672325,-1.147713065,0.001762714,2000020800,23.57941437,-21.67071533
7.965325928,1.338050351,-0.001100062,1026.28625,-14.69927216,0.915459454,0.000220025,2000020803,23.90235901,-22.54504395
7.717797852,1.904964447,-0.000297414,1024.69,-13.46692944,1.615202427,0.000499142,2000020806,23.15150642,-23.75872803
7.111047363,2.05039978,0.000377409,1026.037813,-13.81113148,0.986325026,-0.000320608,2000020809,23.04503059,-25.18307495
6.225854492,3.315942362,0.000237258,1027.198516,-13.67365265,-1.363918185,-0.004690932,2000020812,22.83287621,-26.56307983
8.186914063,1.863021404,-0.000165091,1023.573125,-13.14541435,-1.001329422,0.000524288,2000020815,21.71792221,-27.90878296
8.180780029,2.318391576,-0.000616102,1022.435313,-14.07339191,-0.782059908,0.001223339,2000020818,21.67978859,-29.03067017
7.851220703,2.510070801,-0.000329588,1023.983281,-14.16704464,-1.371217251,0.128322328,2000020821,21.04730797,-30.12023926
7.613336182,3.138621105,0.000180643,1024.438516,-13.62184715,-1.569057226,2.109506261,2000020900,20.40054131,-31.1295166
7.970544434,3.357896581,-0.000172407,1022.723203,-12.52997208,-1.284552336,-0.722842338,2000020903,19.86124611,-32.09381104
6.252160645,7.051606197,0.000707947,1021.254375,-10.98198318,-3.237263203,3.865760565,2000020906,19.68878746,-33.17370605
7.131188965,6.202697754,0.000615337,1022.207656,-10.47799683,-3.083223343,-0.336120185,2000020909,19.21756935,-33.87664795
7.38729248,6.010056008,0.000905469,1023.567188,-10.89795399,-2.934427023,1.810541376,2000020912,18.83413506,-34.46762085
7.385919189,7.15637207,0.0008544,1021.053438,-11.08839226,-3.690642834,1.699491637,2000020915,18.26007462,-35.33920288
8.115991211,6.994253024,0.000181802,1019.17375,-10.78377724,-3.595558643,0.431045238,2000020918,17.82449341,-36.32537842
7.806329346,7.425310556,0.000468965,1020.082344,-10.05125523,-3.449997425,51.06243175,2000020921,16.96856117,-37.1133728
9.322503662,5.302589852,-7.14E-05,1020.424375,-10.1800909,-2.526567459,-0.468744943,2000021000,16.06695557,-37.51464844
10.04128418,4.549026955,0.000279943,1018.689375,-10.98745346,-2.308904409,-1.304930309,2000021003,15.721632,-38.08639526
8.220941162,7.698065601,-3.20E-05,1016.984063,-12.42543221,-3.297311068,7.835262269,2000021006,15.55701447,-39.19326782
8.992181396,8.00706353,-0.000153019,1018.073984,-12.40142536,-2.720035076,8.795766765,2000021009,15.08846188,-39.60110474
9.13012085,8.274144493,0.000284232,1019.993906,-13.37527275,-2.923945665,2.110414649,2000021012,14.84651566,-40.19155884
9.504571533,8.426669054,0.000331792,1017.480469,-12.60407639,-2.773413897,3.275497723,2000021015,13.96136665,-40.86270142
9.974389648,8.590698242,0.00106603,1014.598281,-10.67767239,-3.650758266,22.44739132,2000021018,12.93749714,-42.16900635
10.29238281,8.007050492,0.000183916,1015.362031,-10.15516472,-4.374091148,19.94224624,2000021021,12.42909813,-42.19937134
10.16015015,8.991241455,-0.000287802,1017.120781,-11.47504425,-4.161500931,31.46998873,2000021100,12.46468163,-42.52255249
10.35115967,9.349822998,-1.33E-06,1017.068281,-12.61739731,-3.308217525,15.78274732,2000021103,13.20612621,-42.6882019
11.73684082,1.61055522,-0.000191275,1023.088047,-5.81683588,-1.150280714,-0.00196388,2000021200,24.76896286,-19.98806763
11.25216064,1.571178436,-0.000187592,1021.45875,-6.840499401,-1.264985681,-0.002488168,2000021203,24.51612854,-21.0151062
11.1357666,1.538277022,-0.000508269,1021.031563,-7.007727623,-1.243641853,0.000374671,2000021206,24.79173851,-21.15872192
6.40569458,7.434856612,-6.77E-05,1020.504375,-8.371543884,-3.268013716,49.00060929,2000021303,24.96419334,-24.89733887
6.651544189,6.603322458,-0.000109377,1019.239141,-8.728742599,-2.99497509,35.7719494,2000021306,24.61347389,-24.96990967
6.983117676,6.042480469,-0.000314239,1021.027188,-10.47901249,-2.554633379,2.12486526,2000021309,24.7975502,-25.46170044
7.722650146,5.393981934,-0.000364898,1021.683438,-9.94717598,-2.573544025,2.401754726,2000021312,24.69149208,-26.02682495
10.62337646,2.746582031,-0.000958048,1019.712266,-11.29404831,-1.006383181,2.493952098,2000021315,24.55879021,-26.32897949
10.83892212,2.93254992,-0.000185289,1018.213125,-10.25971222,-2.870273113,1.319597801,2000021318,24.10670853,-26.58319092
12.72097168,1.700878143,1.49E-05,1017.903594,-8.649424553,-1.450174809,-0.028989231,2000021321,22.89393997,-26.31613159
12.82518921,1.339958049,9.35E-05,1017.935156,-6.271092415,-0.466812253,-0.004688418,2000021400,21.95159149,-26.35739136
12.8461853,1.18446385,0.000207645,1016.595781,-4.170510292,-0.356334209,-0.000822265,2000021403,21.52789688,-26.32980347
13.04342041,1.293334761,-0.000481073,1015.383906,-4.694752693,-0.381872296,-3.21E-05,2000021406,21.72436333,-25.41955566
13.17400513,1.629387611,-0.001180534,1016.814688,-7.096783638,0.698662043,-0.001596753,2000021409,21.63136292,-25.09573364
13.04064331,1.760176499,-0.00142455,1017.995938,-8.392935753,0.894497275,0.014896318,2000021412,21.40579796,-25.5680542
13.51970825,1.527315704,-0.001207565,1016.036875,-5.708538055,1.439494014,-0.001849467,2000021415,21.02757645,-25.55783081
13.60622559,1.318062888,-0.000847003,1015.183438,-3.967911243,1.780642152,0.002396386,2000021418,21.00064659,-25.45672607
13.64089355,1.181125641,-0.000655508,1016.590859,-3.679251671,1.58867836,-0.002202764,2000021421,21.10502815,-25.55291748
13.30736694,1.329903025,-0.00140295,1017.315781,-5.238495827,2.593950748,0.001790375,2000021500,21.57422066,-25.73449707
12.19701538,2.03132676,-0.000733803,1017.010859,-6.013211727,0.460833013,0.006754138,2000021503,21.99489975,-25.98583984
12.15966187,1.74141943,-0.000937608,1016.784219,-7.349405289,0.241323352,0.000989484,2000021506,22.42435837,-26.177948
12.28493652,1.317029353,-0.001278434,1018.38875,-10.04631901,1.013373137,0.038944418,2000021509,22.9290638,-26.47174072
12.19442139,1.245363965,-0.002093097,1018.865469,-11.203722,0.468970776,-0.007504737,2000021512,22.99397087,-26.81735229
13.00307617,1.477071899,-0.003872283,1016.404688,-11.0515213,2.508897781,0.027609989,2000021515,22.99402618,-27.05432129
12.70733032,1.713403151,-0.004815242,1015.671563,-11.40847778,1.350145102,0.055965548,2000021518,23.05139542,-26.9850769
12.67818604,1.368999481,-0.002539901,1016.856563,-10.65738773,1.303012133,0.019448949,2000021521,23.17625618,-27.08657837
11.72713623,1.752916258,-0.002673966,1018.056641,-11.3174715,-0.548756242,0.325966347,2000021600,23.25112534,-27.27752686
11.39525757,1.499196864,-0.001620184,1017.258594,-7.824995041,2.250624418,0.011232588,2000021603,23.25894928,-27.37408447
11.96065674,1.362356357,-0.000666647,1016.368594,-5.727067947,3.404368401,-0.015214412,2000021606,23.48808479,-27.49615479
11.85146484,1.139643718,-0.000740699,1018.326563,-6.350797653,4.261717796,0.014765561,2000021609,24.04431915,-27.41790771
11.24013672,1.337597612,-0.002083258,1019.790156,-8.422159195,5.576963425,0.146021135,2000021612,24.49682617,-27.48654175
11.20696411,2.180259209,-0.003102321,1018.310156,-9.004190445,5.67037344,0.16256324,2000021615,24.84549713,-27.7237854
9.822045898,6.181718316,-0.000275914,1019.599688,-2.529337645,-6.61438179,0.264642248,2000022003,24.81717873,-27.28781128
9.43770752,5.537034478,0.001229647,1018.675625,-1.920866728,-6.73364687,1.132776495,2000022006,23.66077995,-28.309021
9.485192871,4.5337677,0.000761895,1019.91625,-3.372064352,-5.949439049,0.761595648,2000022009,22.59350395,-28.84994507
9.614831543,4.575734958,-0.000444934,1021.488047,-5.165807724,-7.268038273,0.773621583,2000022012,21.9269352,-29.07009888
9.80413208,5.155569874,0.00040289,1019.268125,-7.515394211,-7.393119812,0.116305193,2000022015,21.16623306,-30.42895508
9.80892334,4.941940773,0.001305372,1018.252656,-9.105759621,-7.357051849,-0.009373063,2000022018,20.29951286,-32.15405273
10.85915527,1.630816958,0.000521615,1020.4575,-10.67835522,-2.486484766,0.000206195,2000020615,21.00999069,-19.74411011
12.65023193,0.878572464,-0.00042162,1021.130469,-12.39545441,-6.043444633,-0.00243159,2000020621,20.17607498,-20.98086548
11.32454834,1.366706332,-0.000710818,1021.138594,-15.53323269,-4.698232651,-0.001869584,2000020700,19.51666641,-22.4866333
10.04766235,1.701833331,-0.000155837,1020.473438,-16.74597359,-2.638347387,-0.002237968,2000020703,19.43921471,-24.34411621
10.14199219,1.174935605,0.001160119,1020.663438,-15.47551632,-2.01983881,-0.00202423,2000020706,19.29604149,-26.18264771
11.73201904,0.401139288,-8.59E-05,1021.742969,-14.49207497,-2.502512217,0.000753114,2000020709,18.99756432,-27.99258423
10.95980225,0.674724812,7.74E-05,1023.013359,-14.38559055,-2.581329107,-0.001234654,2000020712,19.0000782,-29.48510742
10.21877441,1.036170986,6.27E-05,1021.794688,-12.80394268,-2.253818512,0.000907131,2000020715,18.78578377,-30.71304321
11.2060791,0.951688038,1.72E-05,1020.046797,-11.52623177,-4.02729845,-0.001722481,2000020718,18.00315666,-30.99789429
14.20491943,0.381828198,-0.000436012,1016.715781,-8.655096054,-4.214757442,0.002444163,2000031900,24.04698181,-19.7166748
14.03429565,0.480294228,-0.000337056,1015.088281,-8.179616928,-1.724321723,0.000398559,2000031903,24.0615921,-20.32525635
13.79226074,0.539303001,0.000517072,1014.333438,-6.941433907,-0.353272557,-0.00098194,2000031906,23.54132462,-20.59277344
14.00637207,0.591757125,-0.000350131,1014.932422,-6.066179752,0.776122332,0.000673905,2000031909,23.06563187,-20.7795105
13.93065796,0.512838713,0.000105714,1015.563281,-4.461129189,0.700860977,-0.000470853,2000031912,22.97766113,-21.18902588
14.78792725,0.48458841,0.000538877,1013.534375,-1.179960966,-1.427428007,-0.000849925,2000031915,22.16279411,-21.21679688
14.93514404,0.485244382,0.00083361,1012.447422,-0.859628439,-3.416015148,-0.001772773,2000031918,21.96324921,-21.30612183
14.92067871,0.49781811,0.00098412,1013.982656,-1.068452835,-4.021048546,0.000810949,2000031921,21.7952652,-21.49282837
15.73076782,0.234663778,0.001508507,1014.907656,-1.3260144,-4.39324522,0.001428276,2000032000,21.54852104,-21.62002563
16.19161377,0.279545784,0.001514986,1013.296875,-1.12097919,-4.424835205,-0.001432048,2000032003,21.34701347,-21.9385376
17.4710022,0.235200117,0.001331834,1012.3175,-0.461102486,-5.553474426,0.000470225,2000032006,21.1703434,-21.81030273
17.90709839,0.138640666,0.000685857,1012.779688,0.124869823,-3.205068588,-0.000611041,2000032009,20.67278862,-20.30886841
19.85692749,0.848447671,0.001784325,1010.3525,-0.092117064,-6.514708996,-0.000553206,2000032018,17.8170166,-20.85736084
19.90249023,0.911715266,0.000804046,1011.631094,-0.389757633,-6.187020302,0.001263572,2000032021,17.6020813,-20.19189453
16.62972412,10.66251937,0.000296591,1010.692813,-15.10718918,-3.222722292,1.860635402,2000041109,5.065886021,-22.98123169
