cost|feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
1|['AirTemp', 'QV', 'Omega', 'UWinds', 'dOmega', 'LifeTime']|0.13450980392156864|0.11755485893416928|0.4618283622267687|0.5279249415455649|0.8654901960784314|0.8824451410658307|0.8617492946392583|0.884437596302003
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'dUWinds', 'dVWinds']|0.10941176470588235|0.11755485893416928|0.5622452275838731|0.5279249415455649|0.8905882352941177|0.8824451410658307|0.8879067898754519|0.884437596302003
4|['AirTemp', 'QV', 'Omega', 'dOmega', 'dVWinds', 'LifeTime']|0.12745098039215685|0.11755485893416928|0.4900706056084543|0.5279249415455649|0.8725490196078431|0.8824451410658307|0.867075664621677|0.884437596302003
1|['AirTemp', 'QV', 'Omega', 'SeaLevPress', 'VWinds', 'Lon']|0.12666666666666668|0.11755485893416928|0.4932086326508638|0.5279249415455649|0.8733333333333333|0.8824451410658307|0.8672420879572544|0.884437596302003
36|['AirTemp', 'QV', 'Omega', 'dOmega', 'dSeaLevPress']|0.12156862745098039|0.11755485893416928|0.5136058084265256|0.5279249415455649|0.8784313725490196|0.8824451410658307|0.874493927125506|0.884437596302003
1|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dSeaLevPress']|0.12862745098039216|0.11598746081504702|0.48536356504484|0.5342192756582906|0.8713725490196078|0.8840125391849529|0.8656838656838657|0.884375
1|['AirTemp', 'QV', 'Omega', 'UWinds', 'dSeaLevPress']|0.13725490196078433|0.11598746081504702|0.45084526757833543|0.5342192756582906|0.8627450980392157|0.8840125391849529|0.8563218390804598|0.884375
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dVWinds']|0.10941176470588235|0.11912225705329153|0.5622452275838731|0.5216306074328391|0.8905882352941177|0.8808777429467085|0.8877263581488932|0.8841463414634145
49|['AirTemp', 'Omega', 'Lat', 'Lon', 'dOmega', 'dVWinds']|0.11647058823529412|0.11912225705329153|0.5340029842021875|0.5216306074328391|0.8835294117647059|0.8808777429467085|0.8791208791208791|0.8841463414634145
49|['AirTemp', 'Omega', 'dAirTemp', 'dQV', 'dSeaLevPress', 'LifeTime']|0.11960784313725491|0.11912225705329153|0.5214508760325495|0.5216306074328391|0.8803921568627451|0.8808777429467085|0.8756624541377905|0.8841463414634145
64|['AirTemp', 'Omega', 'dAirTemp', 'dQV', 'dSeaLevPress', 'LifeTime']|0.11764705882352941|0.11912225705329153|0.5292959436385732|0.5216306074328391|0.8823529411764706|0.8808777429467085|0.8781478472786353|0.8841463414634145
36|['AirTemp', 'Omega', 'UWinds', 'Lon', 'dAirTemp', 'dVWinds']|0.11372549019607843|0.11755485893416928|0.5449860788506208|0.5279249415455649|0.8862745098039215|0.8824451410658307|0.8822095857026808|0.884080370942813
49|['AirTemp', 'Omega', 'UWinds', 'Lon', 'dAirTemp', 'dVWinds']|0.11294117647058824|0.11755485893416928|0.5481241058930303|0.5279249415455649|0.8870588235294118|0.8824451410658307|0.8827361563517915|0.884080370942813
64|['AirTemp', 'Omega', 'UWinds', 'Lon', 'dAirTemp', 'dVWinds']|0.11098039215686274|0.11755485893416928|0.5559691734990541|0.5279249415455649|0.8890196078431373|0.8824451410658307|0.8850060950832994|0.884080370942813
81|['AirTemp', 'Omega', 'UWinds', 'Lon', 'dAirTemp', 'dVWinds']|0.11137254901960784|0.11755485893416928|0.5544001599778493|0.5279249415455649|0.8886274509803922|0.8824451410658307|0.8844589096826688|0.884080370942813
64|['AirTemp', 'QV', 'Omega', 'dOmega', 'dSeaLevPress']|0.1223529411764706|0.11755485893416928|0.5104677813841161|0.5279249415455649|0.8776470588235294|0.8824451410658307|0.8737864077669902|0.884080370942813
81|['AirTemp', 'QV', 'Omega', 'dOmega', 'dSeaLevPress']|0.12156862745098039|0.11755485893416928|0.5136058084265256|0.5279249415455649|0.8784313725490196|0.8824451410658307|0.8743922204213939|0.884080370942813
1|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dAirTemp']|0.12862745098039216|0.11598746081504702|0.48536356504484|0.5342192756582906|0.8713725490196078|0.8840125391849529|0.8645747316267547|0.8840125391849529
64|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'WaveTrajectory']|0.11686274509803922|0.11912225705329153|0.5324339706809827|0.5216306074328391|0.8831372549019608|0.8808777429467085|0.8798387096774194|0.8837920489296636
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'WaveTrajectory', 'dVWinds']|0.11333333333333333|0.11912225705329153|0.5465550923718255|0.5216306074328391|0.8866666666666667|0.8808777429467085|0.8832323232323233|0.8837920489296636
100|['AirTemp', 'QV', 'Omega', 'UWinds', 'dSeaLevPress', 'dUWinds']|0.11019607843137255|0.11912225705329153|0.5591072005414636|0.5216306074328391|0.8898039215686274|0.8808777429467085|0.8870124648170485|0.8837920489296636
81|['AirTemp', 'Omega', 'dAirTemp', 'dQV', 'dSeaLevPress', 'LifeTime']|0.11490196078431372|0.11912225705329153|0.5402790382870065|0.5216306074328391|0.8850980392156863|0.8808777429467085|0.8810393828664231|0.8837920489296636
1|['AirTemp', 'QV', 'Omega', 'UWinds', 'Lon', 'dVWinds']|0.13058823529411764|0.11755485893416928|0.47751849743881625|0.5279249415455649|0.8694117647058823|0.8824451410658307|0.8632443531827515|0.883720930232558
