cost|feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.8172888171405|-0.4660451141174944|-0.4736240670231804|1.0|0.8652037617554859|1.0|0.8708708708708709
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.9614456348027|-0.4660451141174944|-0.4737943106620819|1.0|0.8636363636363636|1.0|0.8707280832095096
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.4164292321962|-0.4660451141174944|-0.4731506673218262|1.0|0.8667711598746082|1.0|0.8706240487062404
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1246.646936795244|-0.4660451141174944|-0.47224192644714247|1.0|0.8620689655172413|1.0|0.8702064896755162
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.4791174100565|-0.4660451141174944|-0.4732246996408527|1.0|0.8620689655172413|1.0|0.8682634730538923
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1247.364822039927|-0.4660451141174944|-0.4730897212191869|1.0|0.8620689655172413|1.0|0.867867867867868
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.6584301013984|-0.4660451141174944|-0.47225549959820445|1.0|0.8620689655172413|1.0|0.867867867867868
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1247.2749847775683|-0.4660451141174944|-0.47298362687900264|1.0|0.8605015673981191|1.0|0.8673621460506706
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.4631501622648|-0.4660451141174944|-0.4732058429373589|1.0|0.8605015673981191|1.0|0.8673621460506706
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.4228146355224|-0.4660451141174944|-0.4731582082367529|1.0|0.8589341692789969|1.0|0.8672566371681416
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1246.5282669338756|-0.4660451141174944|-0.472101781920127|1.0|0.8557993730407524|1.0|0.8670520231213873
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.8265200800654|-0.4660451141174944|-0.47363496878847666|1.0|0.8589341692789969|1.0|0.8664688427299703
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1248.2980745565471|-0.4660451141174944|-0.4741918564287455|1.0|0.8605015673981191|1.0|0.865761689291101
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1246.8945831093258|-0.4660451141174944|-0.47253438718783825|1.0|0.8589341692789969|1.0|0.8656716417910448
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1246.9705052853997|-0.4660451141174944|-0.4726240483480788|1.0|0.8573667711598746|1.0|0.8655834564254062
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.376483387209|-0.4660451141174944|-0.47310349282033615|1.0|0.8605015673981191|1.0|0.8653555219364599
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.3731059637012|-0.4660451141174944|-0.4730995042135022|1.0|0.8605015673981191|1.0|0.8653555219364599
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1247.6330957697405|-0.4660451141174944|-0.47340654214188604|1.0|0.8589341692789969|1.0|0.8648648648648649
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.8013716303137|-0.4660451141174944|-0.47360526943975434|1.0|0.8589341692789969|1.0|0.8648648648648649
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.0259745907783|-0.4660451141174944|-0.4726895554572681|1.0|0.8573667711598746|1.0|0.8647845468053492
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.8915963576055|-0.4660451141174944|-0.4725308599493103|1.0|0.8573667711598746|1.0|0.8647845468053492
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1246.97618517155|-0.4660451141174944|-0.4726307560744454|1.0|0.8573667711598746|1.0|0.8647845468053492
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.5746902030485|-0.4660451141174944|-0.47333756742139066|1.0|0.8605015673981191|1.0|0.8645357686453577
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.1271900234947|-0.4660451141174944|-0.47280908697758095|1.0|0.8573667711598746|1.0|0.864381520119225
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1247.3785414971492|-0.4660451141174944|-0.47310592336875645|1.0|0.8589341692789969|1.0|0.86404833836858
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.8448169465416|-0.4660451141174944|-0.4736565766817413|1.0|0.8573667711598746|1.0|0.8639760837070254
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1248.319265927965|-0.4660451141174944|-0.4742168826206523|1.0|0.8589341692789969|1.0|0.8636363636363636
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1247.4985504591211|-0.4660451141174944|-0.4732476493219111|1.0|0.8573667711598746|1.0|0.8635682158920541
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1248.3082260817241|-0.4660451141174944|-0.47420384498824997|1.0|0.8573667711598746|1.0|0.863157894736842
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.7608377509973|-0.4660451141174944|-0.4735574004924126|1.0|0.8573667711598746|1.0|0.863157894736842
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.7826800005687|-0.4660451141174944|-0.47240223393453995|1.0|0.8573667711598746|1.0|0.8627450980392157
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1247.0685988998184|-0.4660451141174944|-0.4727398931214475|1.0|0.8557993730407524|1.0|0.8626865671641791
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.6542490587535|-0.4660451141174944|-0.47343152335994243|1.0|0.8573667711598746|1.0|0.8623298033282905
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.905545596568|-0.4660451141174944|-0.4737282948740107|1.0|0.85423197492163|1.0|0.8622222222222222
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1247.1578526125165|-0.4660451141174944|-0.4728452983120004|1.0|0.85423197492163|1.0|0.8622222222222222
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1248.3586011952038|-0.4660451141174944|-0.4742633360533828|1.0|0.8573667711598746|1.0|0.8619119878603946
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1247.5098897257858|-0.4660451141174944|-0.4732610405582798|1.0|0.8557993730407524|1.0|0.8614457831325301
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.588856098406|-0.4660451141174944|-0.4733542967971711|1.0|0.85423197492163|1.0|0.8614008941877795
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1247.5928593574367|-0.4660451141174944|-0.4733590244916077|1.0|0.85423197492163|1.0|0.8614008941877795
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1247.5797442888063|-0.4660451141174944|-0.4733435361016425|1.0|0.8557993730407524|1.0|0.8610271903323263
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1247.5692932071404|-0.4660451141174944|-0.473331193777484|1.0|0.85423197492163|1.0|0.8609865470852017
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1247.5738287869945|-0.4660451141174944|-0.4733365501222715|1.0|0.8557993730407524|1.0|0.8606060606060607
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1247.8043657120431|-0.4660451141174944|-0.4736088053347405|1.0|0.8557993730407524|1.0|0.8606060606060607
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1246.809535497045|-0.4660451141174944|-0.4724339492395724|1.0|0.8526645768025078|1.0|0.8605341246290801
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1246.7517618071438|-0.4660451141174944|-0.47236572074118355|1.0|0.8495297805642633|1.0|0.8600583090379008
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1247.4824968878459|-0.4660451141174944|-0.473228690673714|1.0|0.85423197492163|1.0|0.8597285067873304
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1249.093995456339|-0.4660451141174944|-0.475131808298215|1.0|0.85423197492163|1.0|0.8593040847201211
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1247.1857542490334|-0.4660451141174944|-0.47287824906805187|1.0|0.8526645768025078|1.0|0.8592814371257484
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.733818697596|-0.4660451141174944|-0.47234453062120085|1.0|0.8526645768025078|1.0|0.8592814371257484
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1248.145749922016|-0.4660451141174944|-0.4740119669133034|1.0|0.8526645768025078|1.0|0.8588588588588589
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1246.9143439978511|-0.4660451141174944|-0.4725577240346488|1.0|0.8479623824451411|1.0|0.8588064046579329
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1248.31142277042|-0.4660451141174944|-0.4742076201542451|1.0|0.85423197492163|1.0|0.858447488584475
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1248.3918779184228|-0.4660451141174944|-0.47430263457941413|1.0|0.85423197492163|1.0|0.858447488584475
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1247.0832409272455|-0.4660451141174944|-0.47275718479082895|1.0|0.8495297805642633|1.0|0.8584070796460177
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1247.1705497868193|-0.4660451141174944|-0.4728602931848904|1.0|0.8479623824451411|1.0|0.8579795021961932
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1247.0313063138271|-0.4660451141174944|-0.4726958520164468|1.0|0.8479623824451411|1.0|0.8575624082232012
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.901626132734|-0.4660451141174944|-0.4725427047267057|1.0|0.8510971786833855|1.0|0.8571428571428572
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1246.9113734967304|-0.4660451141174944|-0.4725542159874516|1.0|0.8463949843260188|1.0|0.8571428571428571
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1246.9190617449392|-0.4660451141174944|-0.47256329551191034|1.0|0.8463949843260188|1.0|0.8567251461988303
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.624453543026|-0.4660451141174944|-0.4733963360056246|1.0|0.8479623824451411|1.0|0.8567208271787297
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.805045955342|-0.4660451141174944|-0.4736096086758268|1.0|0.8510971786833855|1.0|0.8562783661119516
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1247.2660197777748|-0.4660451141174944|-0.4729730395601901|1.0|0.8463949843260188|1.0|0.855457227138643
