feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dSeaLevPress', 'dVWinds', 'dLat']|1094.4744607908158|1247.3891556373885|-0.4660451141174944|-0.4731184582587984|1.0|0.8589341692789969|1.0|0.8660714285714286
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'dSeaLevPress']|1094.4744607908158|1247.7815210374229|-0.4660451141174944|-0.4735818266555494|1.0|0.8620689655172413|1.0|0.8658536585365854
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLon']|1094.4744607908158|1246.8288760263692|-0.4660451141174944|-0.4724567896583871|1.0|0.8589341692789969|1.0|0.8656716417910448
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dSeaLevPress', 'dVWinds', 'dLat', 'LifeTime']|1094.4744607908158|1246.5737853093342|-0.4660451141174944|-0.4721555373650699|1.0|0.8573667711598746|1.0|0.8651851851851851
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dAirTemp', 'dLat']|1094.4744607908158|1247.1816957815172|-0.4660451141174944|-0.47287345617452425|1.0|0.8589341692789969|1.0|0.8648648648648649
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.573501954178|-0.4660451141174944|-0.4721552027335647|1.0|0.8557993730407524|1.0|0.8647058823529411
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1246.9687765088888|-0.4660451141174944|-0.47262200672972976|1.0|0.8557993730407524|1.0|0.8647058823529411
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLon', 'LifeTime']|1094.4744607908158|1246.334980298761|-0.4660451141174944|-0.4718735178626474|1.0|0.8557993730407524|1.0|0.8647058823529411
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp', 'dUWinds', 'dLat']|1094.4744607908158|1247.4319719814753|-0.4660451141174944|-0.47316902270895733|1.0|0.8605015673981191|1.0|0.8645357686453577
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dUWinds']|1094.4744607908158|1246.9210510380178|-0.4660451141174944|-0.47256564479027285|1.0|0.8589341692789969|1.0|0.8644578313253012
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dUWinds', 'dLat']|1094.4744607908158|1247.0517303114993|-0.4660451141174944|-0.47271997196957183|1.0|0.8557993730407524|1.0|0.8643067846607668
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dSeaLevPress', 'dUWinds', 'dLat']|1094.4744607908158|1247.969114091163|-0.4660451141174944|-0.4738033668131314|1.0|0.8620689655172413|1.0|0.8641975308641975
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'WaveTrajectory', 'dSeaLevPress']|1094.4744607908158|1245.922244929452|-0.4660451141174944|-0.4713860933182239|1.0|0.8526645768025078|1.0|0.8641618497109826
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'LifeTime']|1094.4744607908158|1247.386184237|-0.4660451141174944|-0.4731149491496005|1.0|0.8589341692789969|1.0|0.86404833836858
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dQV', 'dSeaLevPress', 'dLon']|1094.4744607908158|1247.8580142106532|-0.4660451141174944|-0.47367216214139773|1.0|0.8589341692789969|1.0|0.86404833836858
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dLat']|1094.4744607908158|1247.6669438948602|-0.4660451141174944|-0.47344651547151306|1.0|0.8573667711598746|1.0|0.8639760837070254
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat', 'dLon']|1094.4744607908158|1247.1240638035986|-0.4660451141174944|-0.47280539503251906|1.0|0.8573667711598746|1.0|0.8639760837070254
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dAirTemp', 'LifeTime']|1094.4744607908158|1246.8913138052437|-0.4660451141174944|-0.4725305262658741|1.0|0.8557993730407524|1.0|0.8639053254437871
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dSeaLevPress', 'dVWinds', 'dLat', 'dLon']|1094.4744607908158|1247.1596353749667|-0.4660451141174944|-0.4728474036856605|1.0|0.8557993730407524|1.0|0.8639053254437871
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dSeaLevPress', 'dUWinds']|1094.4744607908158|1247.708073701596|-0.4660451141174944|-0.4734950881861413|1.0|0.8589341692789969|1.0|0.8636363636363636
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dQV']|1094.4744607908158|1247.5075816979554|-0.4660451141174944|-0.47325831486647485|1.0|0.8589341692789969|1.0|0.8636363636363636
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dOmega', 'dVWinds', 'dLat', 'dLon']|1094.4744607908158|1247.835856563971|-0.4660451141174944|-0.4736459948156908|1.0|0.8589341692789969|1.0|0.8636363636363636
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'WaveTrajectory', 'dQV', 'dSeaLevPress']|1094.4744607908158|1246.8077426365314|-0.4660451141174944|-0.472431831940489|1.0|0.8557993730407524|1.0|0.8635014836795252
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'WaveTrajectory', 'dUWinds', 'dLat']|1094.4744607908158|1246.549249606327|-0.4660451141174944|-0.47212656164660816|1.0|0.8557993730407524|1.0|0.8635014836795252
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'WaveTrajectory']|1094.4744607908158|1246.8617658881346|-0.4660451141174944|-0.4724956313159703|1.0|0.85423197492163|1.0|0.8634361233480176
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.3815208306105|-0.4660451141174944|-0.4719284804348445|1.0|0.85423197492163|1.0|0.8630338733431517
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dUWinds', 'dLat', 'LifeTime']|1094.4744607908158|1247.0867254866282|-0.4660451141174944|-0.4727612999209967|1.0|0.8573667711598746|1.0|0.8627450980392157
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dQV', 'dLat']|1094.4744607908158|1247.1230874176003|-0.4660451141174944|-0.47280424195833204|1.0|0.8557993730407524|1.0|0.8626865671641791
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'dUWinds', 'dLon', 'LifeTime']|1094.4744607908158|1247.4747704866793|-0.4660451141174944|-0.4732195660920844|1.0|0.8557993730407524|1.0|0.8626865671641791
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.3412621314903|-0.4660451141174944|-0.47306189787645847|1.0|0.8557993730407524|1.0|0.8626865671641791
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'Lon', 'dVWinds', 'dLat', 'dLon']|1094.4744607908158|1247.1634879856094|-0.4660451141174944|-0.47285195347016407|1.0|0.8557993730407524|1.0|0.8626865671641791
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lat', 'Lon', 'dAirTemp', 'dUWinds', 'dLat']|1094.4744607908158|1247.2511788627623|-0.4660451141174944|-0.47295551301224537|1.0|0.8557993730407524|1.0|0.8626865671641791
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp', 'dQV', 'dVWinds', 'LifeTime']|1094.4744607908158|1247.4884666659038|-0.4660451141174944|-0.4732357407512373|1.0|0.8557993730407524|1.0|0.8626865671641791
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dAirTemp', 'dLat']|1094.4744607908158|1246.7830243389328|-0.4660451141174944|-0.4724026405848605|1.0|0.85423197492163|1.0|0.862629246676514
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'WaveTrajectory', 'dLat', 'dLon']|1094.4744607908158|1247.0923139272395|-0.4660451141174944|-0.4727678996537108|1.0|0.85423197492163|1.0|0.862629246676514
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dUWinds', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1247.1340603365823|-0.4660451141174944|-0.4728172005522242|1.0|0.85423197492163|1.0|0.862629246676514
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dSeaLevPress']|1094.4744607908158|1247.8171810146255|-0.4660451141174944|-0.47362393971257033|1.0|0.8573667711598746|1.0|0.8623298033282905
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dOmega', 'dVWinds']|1094.4744607908158|1247.6581991265289|-0.4660451141174944|-0.47343618823755906|1.0|0.8573667711598746|1.0|0.8623298033282905
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp', 'dVWinds', 'dLat']|1094.4744607908158|1247.4695344047936|-0.4660451141174944|-0.47321338248142886|1.0|0.8557993730407524|1.0|0.8622754491017964
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp', 'dUWinds', 'dLat', 'LifeTime']|1094.4744607908158|1246.8990933527068|-0.4660451141174944|-0.4725397136112288|1.0|0.8557993730407524|1.0|0.8622754491017964
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'WaveTrajectory', 'dAirTemp', 'dSeaLevPress']|1094.4744607908158|1246.916226247285|-0.4660451141174944|-0.4725599468985977|1.0|0.85423197492163|1.0|0.8622222222222222
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dLon']|1094.4744607908158|1248.0635132635553|-0.4660451141174944|-0.4739148485930289|1.0|0.8557993730407524|1.0|0.8618618618618619
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'dOmega', 'dVWinds']|1094.4744607908158|1247.223415820381|-0.4660451141174944|-0.47292272593051976|1.0|0.8557993730407524|1.0|0.8618618618618619
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dQV', 'dLon']|1094.4744607908158|1247.7064247734374|-0.4660451141174944|-0.47349314086561534|1.0|0.8557993730407524|1.0|0.8618618618618619
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'PtIndex', 'WaveTrajectory', 'dOmega', 'LifeTime']|1094.4744607908158|1246.942393397536|-0.4660451141174944|-0.4725908492933|1.0|0.85423197492163|1.0|0.8618127786032689
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat', 'LifeTime']|1094.4744607908158|1246.7477977350518|-0.4660451141174944|-0.4723610393250097|1.0|0.8526645768025078|1.0|0.861764705882353
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dUWinds', 'dVWinds', 'dLat']|1094.4744607908158|1246.5876190747476|-0.4660451141174944|-0.47217187450820264|1.0|0.8526645768025078|1.0|0.861764705882353
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLon']|1094.4744607908158|1245.5267568201261|-0.4660451141174944|-0.4709190371222993|1.0|0.8479623824451411|1.0|0.8616262482168331
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dAirTemp', 'dUWinds', 'dLat']|1094.4744607908158|1247.4700118669248|-0.4660451141174944|-0.4732139463457812|1.0|0.8573667711598746|1.0|0.8614916286149163
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat']|1094.4744607908158|1246.5474512099327|-0.4660451141174944|-0.47212443780986324|1.0|0.8557993730407524|1.0|0.8614457831325301
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'WaveTrajectory', 'dLon']|1094.4744607908158|1248.128641308163|-0.4660451141174944|-0.4739917623005343|1.0|0.8557993730407524|1.0|0.8614457831325301
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dVWinds', 'dLat', 'LifeTime']|1094.4744607908158|1247.24954614478|-0.4660451141174944|-0.4729535848353117|1.0|0.8557993730407524|1.0|0.8614457831325301
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'WaveTrajectory', 'dOmega', 'dLon', 'LifeTime']|1094.4744607908158|1247.613987114237|-0.4660451141174944|-0.4733839755571059|1.0|0.8557993730407524|1.0|0.8614457831325301
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'dSeaLevPress', 'dLat']|1094.4744607908158|1248.0812808048001|-0.4660451141174944|-0.47393583137362105|1.0|0.8589341692789969|1.0|0.861111111111111
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dUWinds', 'dLat', 'LifeTime']|1094.4744607908158|1247.6028684596506|-0.4660451141174944|-0.4733708448550886|1.0|0.8557993730407524|1.0|0.8610271903323263
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dQV', 'dSeaLevPress']|1094.4744607908158|1247.970164043949|-0.4660451141174944|-0.47380460676685576|1.0|0.85423197492163|1.0|0.8609865470852017
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dOmega', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1247.0366262560656|-0.4660451141174944|-0.4727021346629434|1.0|0.8526645768025078|1.0|0.8609467455621301
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'LifeTime']|1094.4744607908158|1246.3914039265762|-0.4660451141174944|-0.47194015198980876|1.0|0.8510971786833855|1.0|0.8609077598828696
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.3593410121186|-0.4660451141174944|-0.47190228692508596|1.0|0.8495297805642633|1.0|0.8608695652173913
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon']|1094.4744607908158|1248.0215757574954|-0.4660451141174944|-0.47386532201666665|1.0|0.8573667711598746|1.0|0.8606431852986218
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress']|1094.4744607908158|1247.6416146594504|-0.4660451141174944|-0.47341660262190466|1.0|0.8557993730407524|1.0|0.8606060606060607
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'WaveTrajectory']|1094.4744607908158|1247.9718060161088|-0.4660451141174944|-0.4738065458726155|1.0|0.8573667711598746|1.0|0.860215053763441
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory']|1094.4744607908158|1248.0327461705485|-0.4660451141174944|-0.4738785138434358|1.0|0.8557993730407524|1.0|0.8601823708206687
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dOmega', 'dLat']|1094.4744607908158|1247.618862218002|-0.4660451141174944|-0.47338973286653063|1.0|0.8526645768025078|1.0|0.8601190476190476
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dOmega', 'dUWinds', 'dLat']|1094.4744607908158|1247.206733671677|-0.4660451141174944|-0.4729030249566353|1.0|0.8526645768025078|1.0|0.8601190476190476
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dLat', 'LifeTime']|1094.4744607908158|1246.8379848996753|-0.4660451141174944|-0.47246754688626624|1.0|0.8510971786833855|1.0|0.8600883652430045
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dUWinds', 'LifeTime']|1094.4744607908158|1246.1814022884435|-0.4660451141174944|-0.47169214815876703|1.0|0.8495297805642633|1.0|0.8600583090379008
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'dSeaLevPress', 'dUWinds']|1094.4744607908158|1247.726077971954|-0.4660451141174944|-0.4735163505346811|1.0|0.8557993730407524|1.0|0.8597560975609756
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dAirTemp']|1094.4744607908158|1247.9742416610045|-0.4660451141174944|-0.47380942227525047|1.0|0.8557993730407524|1.0|0.8597560975609756
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'dOmega', 'dLat', 'LifeTime']|1094.4744607908158|1247.757500722952|-0.4660451141174944|-0.4735534595910613|1.0|0.85423197492163|1.0|0.8597285067873304
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dAirTemp', 'dLat']|1094.4744607908158|1247.0189102157635|-0.4660451141174944|-0.47268121270297736|1.0|0.85423197492163|1.0|0.8597285067873304
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dSeaLevPress', 'dLon']|1094.4744607908158|1247.5282518868732|-0.4660451141174944|-0.4732827255619605|1.0|0.85423197492163|1.0|0.8597285067873304
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'WaveTrajectory', 'dUWinds', 'dLon']|1094.4744607908158|1246.7674146829481|-0.4660451141174944|-0.47238420618349153|1.0|0.8495297805642633|1.0|0.8596491228070176
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1247.3200638645703|-0.4660451141174944|-0.47303686354122965|1.0|0.8526645768025078|1.0|0.8592814371257484
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dQV', 'dUWinds', 'LifeTime']|1094.4744607908158|1247.2173165928148|-0.4660451141174944|-0.47291552297812234|1.0|0.8526645768025078|1.0|0.8592814371257484
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dLat', 'dLon']|1094.4744607908158|1247.1900208374418|-0.4660451141174944|-0.4728832877443223|1.0|0.8526645768025078|1.0|0.8592814371257484
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp', 'dOmega', 'dVWinds']|1094.4744607908158|1247.4369082280225|-0.4660451141174944|-0.4731748522256487|1.0|0.8526645768025078|1.0|0.8592814371257484
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lat', 'Lon', 'PtIndex', 'dUWinds', 'dLat']|1094.4744607908158|1247.287059005435|-0.4660451141174944|-0.4729978860761901|1.0|0.8526645768025078|1.0|0.8592814371257484
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dQV', 'dSeaLevPress', 'dLon', 'LifeTime']|1094.4744607908158|1247.043618846672|-0.4660451141174944|-0.4727103926426177|1.0|0.8510971786833855|1.0|0.8592592592592594
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1247.0822545346314|-0.4660451141174944|-0.4727560198992147|1.0|0.85423197492163|1.0|0.858877086494689
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dAirTemp', 'dLon']|1094.4744607908158|1248.1618707216958|-0.4660451141174944|-0.474031004955652|1.0|0.85423197492163|1.0|0.858877086494689
